Date_Entered,Problem_Cases
17/12/2018 00:00,37
24/12/2018 00:00,20
31/12/2018 00:00,24
07/01/2019 00:00,38
14/01/2019 00:00,29
21/01/2019 00:00,36
28/01/2019 00:00,31
04/02/2019 00:00,37
11/02/2019 00:00,42
18/02/2019 00:00,39
25/02/2019 00:00,34
04/03/2019 00:00,50
11/03/2019 00:00,35
18/03/2019 00:00,31
25/03/2019 00:00,32
01/04/2019 00:00,46
08/04/2019 00:00,31
15/04/2019 00:00,24
22/04/2019 00:00,15
29/04/2019 00:00,47
06/05/2019 00:00,25
13/05/2019 00:00,37
20/05/2019 00:00,40
27/05/2019 00:00,24
03/06/2019 00:00,29
10/06/2019 00:00,40
17/06/2019 00:00,37
24/06/2019 00:00,34
01/07/2019 00:00,28
08/07/2019 00:00,37
15/07/2019 00:00,29
22/07/2019 00:00,42
29/07/2019 00:00,32
05/08/2019 00:00,23
12/08/2019 00:00,31
19/08/2019 00:00,24
26/08/2019 00:00,18
02/09/2019 00:00,28
09/09/2019 00:00,19
16/09/2019 00:00,29
23/09/2019 00:00,23
30/09/2019 00:00,25
07/10/2019 00:00,20
14/10/2019 00:00,19
21/10/2019 00:00,22
28/10/2019 00:00,22
04/11/2019 00:00,20
11/11/2019 00:00,29
18/11/2019 00:00,27
25/11/2019 00:00,30
02/12/2019 00:00,12
09/12/2019 00:00,22
16/12/2019 00:00,18
23/12/2019 00:00,9
30/12/2019 00:00,19
06/01/2020 00:00,37
13/01/2020 00:00,25
20/01/2020 00:00,26
27/01/2020 00:00,14
03/02/2020 00:00,18
10/02/2020 00:00,30
17/02/2020 00:00,21
24/02/2020 00:00,26
02/03/2020 00:00,16
09/03/2020 00:00,21
16/03/2020 00:00,25
23/03/2020 00:00,24
30/03/2020 00:00,33
06/04/2020 00:00,18
13/04/2020 00:00,18
20/04/2020 00:00,20
27/04/2020 00:00,13
04/05/2020 00:00,11
11/05/2020 00:00,13
18/05/2020 00:00,12
25/05/2020 00:00,20
01/06/2020 00:00,20
08/06/2020 00:00,20
15/06/2020 00:00,30
22/06/2020 00:00,23
29/06/2020 00:00,30
06/07/2020 00:00,22
13/07/2020 00:00,35
20/07/2020 00:00,26
27/07/2020 00:00,29
03/08/2020 00:00,35
10/08/2020 00:00,29
17/08/2020 00:00,22
24/08/2020 00:00,36
31/08/2020 00:00,26
07/09/2020 00:00,19
14/09/2020 00:00,24
21/09/2020 00:00,23
28/09/2020 00:00,29
05/10/2020 00:00,15
12/10/2020 00:00,18
19/10/2020 00:00,26
26/10/2020 00:00,20
02/11/2020 00:00,14
09/11/2020 00:00,20
16/11/2020 00:00,26
23/11/2020 00:00,14
30/11/2020 00:00,16
07/12/2020 00:00,13
14/12/2020 00:00,16
21/12/2020 00:00,14
28/12/2020 00:00,10
04/01/2021 00:00,10
11/01/2021 00:00,19
18/01/2021 00:00,16
25/01/2021 00:00,17
01/02/2021 00:00,26
08/02/2021 00:00,24
15/02/2021 00:00,20
22/02/2021 00:00,22
01/03/2021 00:00,23
08/03/2021 00:00,24
15/03/2021 00:00,18
22/03/2021 00:00,21
29/03/2021 00:00,12
05/04/2021 00:00,9
12/04/2021 00:00,18
19/04/2021 00:00,15
26/04/2021 00:00,26
03/05/2021 00:00,20
10/05/2021 00:00,33
17/05/2021 00:00,30
24/05/2021 00:00,20
31/05/2021 00:00,24
07/06/2021 00:00,29
14/06/2021 00:00,21
21/06/2021 00:00,18
28/06/2021 00:00,23
05/07/2021 00:00,20
12/07/2021 00:00,27
19/07/2021 00:00,35
26/07/2021 00:00,28
02/08/2021 00:00,22
09/08/2021 00:00,19
16/08/2021 00:00,17
23/08/2021 00:00,20
30/08/2021 00:00,20
06/09/2021 00:00,23
13/09/2021 00:00,17
20/09/2021 00:00,23
27/09/2021 00:00,23
04/10/2021 00:00,25
11/10/2021 00:00,27
18/10/2021 00:00,24
25/10/2021 00:00,22
01/11/2021 00:00,21
08/11/2021 00:00,27
15/11/2021 00:00,25
22/11/2021 00:00,20
29/11/2021 00:00,22
06/12/2021 00:00,29
13/12/2021 00:00,24
20/12/2021 00:00,29
27/12/2021 00:00,15
03/01/2022 00:00,14
10/01/2022 00:00,18
17/01/2022 00:00,23
24/01/2022 00:00,16
31/01/2022 00:00,30
07/02/2022 00:00,24
14/02/2022 00:00,23
21/02/2022 00:00,23
28/02/2022 00:00,21
07/03/2022 00:00,17
14/03/2022 00:00,33
21/03/2022 00:00,32
28/03/2022 00:00,16
04/04/2022 00:00,17
11/04/2022 00:00,16
18/04/2022 00:00,29
25/04/2022 00:00,38
02/05/2022 00:00,24
09/05/2022 00:00,33
16/05/2022 00:00,25
23/05/2022 00:00,19
30/05/2022 00:00,17
06/06/2022 00:00,30
13/06/2022 00:00,18
20/06/2022 00:00,32
27/06/2022 00:00,24
04/07/2022 00:00,24
11/07/2022 00:00,22
18/07/2022 00:00,23
25/07/2022 00:00,15
01/08/2022 00:00,8
08/08/2022 00:00,22
15/08/2022 00:00,24
22/08/2022 00:00,17
29/08/2022 00:00,16
05/09/2022 00:00,18
12/09/2022 00:00,28
19/09/2022 00:00,18
26/09/2022 00:00,20
03/10/2022 00:00,31
10/10/2022 00:00,35
17/10/2022 00:00,20
24/10/2022 00:00,19
31/10/2022 00:00,27
07/11/2022 00:00,21
14/11/2022 00:00,22
21/11/2022 00:00,9
28/11/2022 00:00,37
05/12/2022 00:00,40
12/12/2022 00:00,29
19/12/2022 00:00,29
26/12/2022 00:00,16
02/01/2023 00:00,18
09/01/2023 00:00,19
16/01/2023 00:00,22
23/01/2023 00:00,20
30/01/2023 00:00,27
06/02/2023 00:00,24
13/02/2023 00:00,14
20/02/2023 00:00,19
27/02/2023 00:00,23
06/03/2023 00:00,20
13/03/2023 00:00,13
20/03/2023 00:00,21
27/03/2023 00:00,14
03/04/2023 00:00,14
10/04/2023 00:00,5
17/04/2023 00:00,17
24/04/2023 00:00,25
01/05/2023 00:00,21
08/05/2023 00:00,9
15/05/2023 00:00,14
22/05/2023 00:00,18
29/05/2023 00:00,14
05/06/2023 00:00,17
12/06/2023 00:00,14
19/06/2023 00:00,21
26/06/2023 00:00,16
03/07/2023 00:00,8
10/07/2023 00:00,17
17/07/2023 00:00,29
24/07/2023 00:00,16
31/07/2023 00:00,11
07/08/2023 00:00,10
14/08/2023 00:00,9
21/08/2023 00:00,13
28/08/2023 00:00,8
04/09/2023 00:00,12
11/09/2023 00:00,9
18/09/2023 00:00,16
25/09/2023 00:00,13
02/10/2023 00:00,8
09/10/2023 00:00,20
16/10/2023 00:00,15
23/10/2023 00:00,20
30/10/2023 00:00,15
06/11/2023 00:00,17
13/11/2023 00:00,11
20/11/2023 00:00,15
27/11/2023 00:00,10
04/12/2023 00:00,18
11/12/2023 00:00,17
18/12/2023 00:00,16
25/12/2023 00:00,13
01/01/2024 00:00,11
08/01/2024 00:00,10
15/01/2024 00:00,19
22/01/2024 00:00,15
29/01/2024 00:00,17
05/02/2024 00:00,12
12/02/2024 00:00,14
19/02/2024 00:00,16
26/02/2024 00:00,12
04/03/2024 00:00,12
11/03/2024 00:00,24
18/03/2024 00:00,23
25/03/2024 00:00,18
01/04/2024 00:00,20
08/04/2024 00:00,11
15/04/2024 00:00,15
22/04/2024 00:00,13
29/04/2024 00:00,13
06/05/2024 00:00,20
13/05/2024 00:00,16
20/05/2024 00:00,15
27/05/2024 00:00,17
03/06/2024 00:00,19
10/06/2024 00:00,15
17/06/2024 00:00,16
24/06/2024 00:00,22
01/07/2024 00:00,12
08/07/2024 00:00,13
15/07/2024 00:00,23
22/07/2024 00:00,19
29/07/2024 00:00,10
05/08/2024 00:00,9
12/08/2024 00:00,20
19/08/2024 00:00,17
26/08/2024 00:00,7
02/09/2024 00:00,16
09/09/2024 00:00,19
16/09/2024 00:00,17
23/09/2024 00:00,10
30/09/2024 00:00,11
07/10/2024 00:00,12
14/10/2024 00:00,19
21/10/2024 00:00,15
28/10/2024 00:00,20
04/11/2024 00:00,18
11/11/2024 00:00,10
18/11/2024 00:00,21
25/11/2024 00:00,16
02/12/2024 00:00,24
09/12/2024 00:00,14
16/12/2024 00:00,32
23/12/2024 00:00,9
30/12/2024 00:00,24
06/01/2025 00:00,18
13/01/2025 00:00,6
20/01/2025 00:00,12
27/01/2025 00:00,14
03/02/2025 00:00,7
10/02/2025 00:00,9
17/02/2025 00:00,15
24/02/2025 00:00,12
03/03/2025 00:00,10
10/03/2025 00:00,14
17/03/2025 00:00,18
24/03/2025 00:00,11
31/03/2025 00:00,4
07/04/2025 00:00,13
14/04/2025 00:00,9
21/04/2025 00:00,14
28/04/2025 00:00,19
05/05/2025 00:00,11
12/05/2025 00:00,12
19/05/2025 00:00,11
26/05/2025 00:00,5
02/06/2025 00:00,10
09/06/2025 00:00,10
16/06/2025 00:00,7
23/06/2025 00:00,11
30/06/2025 00:00,8
07/07/2025 00:00,9
14/07/2025 00:00,13
21/07/2025 00:00,19
28/07/2025 00:00,7
04/08/2025 00:00,10
11/08/2025 00:00,12
18/08/2025 00:00,14
25/08/2025 00:00,15
01/09/2025 00:00,12
08/09/2025 00:00,7
15/09/2025 00:00,8
22/09/2025 00:00,20
29/09/2025 00:00,11
06/10/2025 00:00,6
13/10/2025 00:00,2
20/10/2025 00:00,11
27/10/2025 00:00,6
03/11/2025 00:00,8
10/11/2025 00:00,8
17/11/2025 00:00,9
24/11/2025 00:00,10
01/12/2025 00:00,6
08/12/2025 00:00,4
15/12/2025 00:00,4
22/12/2025 00:00,3
29/12/2025 00:00,2
05/01/2026 00:00,6
12/01/2026 00:00,3
19/01/2026 00:00,7
26/01/2026 00:00,7
02/02/2026 00:00,9
09/02/2026 00:00,7
16/02/2026 00:00,6
23/02/2026 00:00,9
02/03/2026 00:00,4
09/03/2026 00:00,12
16/03/2026 00:00,11
23/03/2026 00:00,9
30/03/2026 00:00,1
06/04/2026 00:00,3
13/04/2026 00:00,5
20/04/2026 00:00,7
27/04/2026 00:00,8
04/05/2026 00:00,12
